celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated,var_week_1,var_week_2,var_week_3,var_week_4,var_week_5,var_week_6,var_week_7,var_week_8,var_week_9,var_week_10,var_week_11,season_mean_week_variance,season_flag,avg_weekly_rank,final_rank_parsed,episodes_participated_parsed,rank_difference,season_flag_parsed,avg_agg_score,avg_week_variance
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,16.0,12.0,,,,,,,,,,,,,,,,,,,,,1,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,12.0,12.0,1,0.0,True,16.0,5.725123180457751
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7,7,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,21.0,5.0,21.0,5.0,,,,,,,,,,,,,,,,,,,2,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,5.0,11.0,2,-6.0,True,21.0,5.725123180457751
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,8,9,8,,9,9,9,,8,8,8,,9,9,9,,8,7,8,,9,10,9,,9,8.5,8.5,,9.5,9.5,9.5,,10,10,10,,9,9.3333,9.6666,,,,,,25.0,2.0,27.0,1.0,24.0,6.0,27.0,2.0,23.0,6.0,28.0,2.0,26.0,3.0,28.5,1.0,30.0,1.0,27.999900000000004,2.0,,,10,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,2.6,1.0,10,1.6,True,26.649990000000003,5.725123180457751
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,8,8,8,,7,8,8,,9,9,9,,8,9,9,,10,9,10,,10,10,10,,9,9,9,,9,9.5,9.5,,10,10,10,,9.3333,9.3333,9.6666,,,,,,24.0,3.0,23.0,4.0,27.0,1.0,26.0,5.0,29.0,1.0,30.0,1.0,27.0,1.0,28.0,2.0,30.0,1.0,28.3332,1.0,,,10,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,2.0,2.0,10,0.0,True,27.23332,5.725123180457751
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6,7,6,,5,5,5,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,19.0,10.0,15.0,11.0,18.0,10.0,,,,,,,,,,,,,,,,,3,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,10.333333333333334,10.0,3,0.3333333333333339,True,17.333333333333332,5.725123180457751
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7,7,7,,8,8,8,,9,8,9,,9,9,8,,7,7,7,,8,8,7,,9,8.5,8.5,,8,8.5,8,,9.5,9.5,9,,8,7.5,7.5,,,,,,21.0,5.0,24.0,3.0,26.0,4.0,26.0,5.0,21.0,7.0,23.0,6.0,26.0,3.0,24.5,5.0,28.0,4.0,23.0,3.0,,,10,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,4.5,3.0,10,1.5,True,24.25,5.725123180457751
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7,7,7,,6,6,6,,6,7,7,,7,8,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,21.0,5.0,18.0,10.0,20.0,9.0,22.0,9.0,21.0,7.0,,,,,,,,,,,,,5,7.909722222222221,10.413223140495868,9.690000000000001,4.888888888888889,7.859375,6.775510204081633,0.4166666666666667,2.6599999999999997,0.6875,5.950345682222228,,5.725123180457751,True,8.0,8.0,5,0.0,True,20.4,5.725123180457751
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,7,7,7,,7,6,7,,8,8,9,,9,8,9,,7,8,8,,9,9,9,,7.5,7.5,8,,10,9,9.5,,9.5,9,9.5,,9,8,9,,,,,,21.0,6.0,20.0,8.0,25.0,3.0,26.0,4.0,23.0,5.0,27.0,3.0,23.0,6.0,28.5,1.0,28.0,2.0,26.0,3.0,,,10,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,4.1,3.0,10,1.0999999999999996,True,24.75,6.784293083900226
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6,6,6,,6,5,5,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,18.0,8.0,16.0,11.0,21.0,6.0,,,,,,,,,,,,,,,,,3,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,8.333333333333334,10.0,3,-1.666666666666666,True,18.333333333333332,6.784293083900226
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8,8,8,,7,7,7,,8,9,9,,7,7,8,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,24.0,2.0,21.0,6.0,26.0,2.0,22.0,8.0,21.0,8.0,,,,,,,,,,,,,5,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,5.2,8.0,5,-2.8,True,22.8,6.784293083900226
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7,7,8,,8,8,8,,7,7,7,,8,8,8,,7,7,8,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,22.0,4.0,24.0,4.0,21.0,6.0,24.0,5.0,22.0,7.0,21.0,7.0,,,,,,,,,,,6,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,5.5,7.0,6,-1.5,True,22.333333333333332,6.784293083900226
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7,7,7,,8,8,8,,8,8,8,,9,10,9,,8,8,7,,8,8,8,,8.5,8.5,8.5,,0,0,0,,0,0,0,,0,0,0,,,,,,21.0,6.0,24.0,4.0,24.0,4.0,28.0,3.0,23.0,5.0,24.0,5.0,25.5,4.0,,,,,,,,,7,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,4.428571428571429,6.0,7,-1.5714285714285712,True,24.214285714285715,6.784293083900226
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6,6,6,,7,7,7,,6,7,6,,8,8,8,,8,8,8,,9,8,9,,9,8.5,8.5,,8.5,8,8.5,,8.5,9,8.5,,0,0,0,,,,,,18.0,8.0,21.0,6.0,19.0,10.0,24.0,5.0,24.0,4.0,26.0,4.0,26.0,3.0,25.0,5.0,26.0,4.0,,,,,9,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,5.444444444444445,4.0,9,1.4444444444444446,True,23.22222222222222,6.784293083900226
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7,8,7,,9,9,9,,8,7,8,,10,9,10,,9,9,9,,8,8,8,,9.5,8.5,9.5,,9,8,9,,9,9.5,9,,9.5,9.5,9.5,,,,,,22.0,4.0,27.0,1.0,23.0,5.0,29.0,1.0,27.0,2.0,24.0,5.0,27.5,1.0,26.0,4.0,27.5,3.0,28.5,2.0,,,10,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,2.8,2.0,10,0.7999999999999998,True,26.15,6.784293083900226
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9,9,9,,9,9,9,,9,9,9,,10,9,10,,9,10,10,,10,10,10,,9.5,8,9.5,,8.5,9.5,9.5,,9.5,9,10,,10,10,10,,,,,,27.0,1.0,27.0,1.0,27.0,1.0,29.0,1.0,29.0,1.0,30.0,1.0,27.0,2.0,27.5,2.0,28.5,1.0,30.0,1.0,,,10,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,1.2,1.0,10,0.19999999999999996,True,28.2,6.784293083900226
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,5,5,5,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,15.0,11.0,15.0,12.0,,,,,,,,,,,,,,,,,,,2,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,11.5,11.0,2,0.5,True,15.0,6.784293083900226
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5,6,5,,6,6,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,16.0,10.0,17.0,10.0,,,,,,,,,,,,,,,,,,,2,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,10.0,12.0,2,-2.0,True,16.5,6.784293083900226
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5,5,5,,6,7,6,,7,7,7,,6,7,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,15.0,11.0,19.0,9.0,21.0,6.0,19.0,9.0,,,,,,,,,,,,,,,4,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,8.75,9.0,4,-0.25,True,18.5,6.784293083900226
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8,8,8,,9,8,9,,7,6,8,,8,7,9,,9,9,9,,9,9,10,,8.5,8.5,8.5,,9,8.5,9,,0,0,0,,0,0,0,,,,,,24.0,2.0,26.0,3.0,21.0,6.0,24.0,5.0,27.0,2.0,28.0,2.0,25.5,4.0,26.5,3.0,,,,,,,8,13.6875,16.243055555555554,6.159999999999999,10.0,7.0,7.63265306122449,2.0625,1.4600000000000002,0.875,2.7222222222222228,,6.784293083900226,True,3.375,5.0,8,-1.625,True,25.25,6.784293083900226
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6,6,6.5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,18.5,8.0,,,,,,,,,,,,,,,,,,,,,1,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,8.0,12.0,1,-4.0,True,18.5,7.33585774754377
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6,5,5,,5,5,5,,6,5,5,,8,7,7,,7,7,7,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,16.0,12.0,15.0,11.0,16.0,9.0,22.0,5.0,21.0,7.0,15.0,7.0,,,,,,,,,,,6,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,8.5,7.0,6,1.5,True,17.5,7.33585774754377
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6,6,6.5,,7,7,7,,7,7,7,,8,8,8,,7,7,8,,8,8,7,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,,,,,18.5,8.0,21.0,4.0,21.0,6.0,24.0,3.0,22.0,5.0,23.0,4.0,24.0,4.0,,,,,,,,,7,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,4.857142857142857,6.0,7,-1.1428571428571432,True,21.928571428571427,7.33585774754377
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7,6.5,7,,7,7,7,,7,7,7,,7,8,8,,10,9,9,,8,8,7,,8,7,7,,8,8,8,,8,7.5,7.5,,0,0,0,,,,,,20.5,6.0,21.0,4.0,21.0,6.0,23.0,4.0,28.0,2.0,23.0,4.0,22.0,5.0,24.0,4.0,23.0,4.0,,,,,9,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,4.333333333333333,4.0,9,0.33333333333333304,True,22.833333333333332,7.33585774754377
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,21.0,5.0,21.0,4.0,,,,,,,,,,,,,,,,,,,2,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,4.5,10.0,2,-5.5,True,21.0,7.33585774754377
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,,7,6,6,,8,8,8,,6,7,7,,9,9,9,,7,7,7,,8,9,8,,8,8,8,,0,0,0,,0,0,0,,,,,,19.5,7.0,19.0,8.0,24.0,3.0,20.0,8.0,27.0,3.0,21.0,6.0,25.0,2.0,24.0,4.0,,,,,,,8,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,5.125,5.0,8,0.125,True,22.4375,7.33585774754377
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7,7,7.5,,8,8,8,,9,8,8,,8,7,7,,8,8,9,,8,9,8,,7,7,7,,9.5,8.5,9,,8.5,8,8,,9,9.5,9,,,,,,21.5,3.0,24.0,1.0,25.0,2.0,22.0,5.0,25.0,4.0,25.0,3.0,21.0,6.0,27.0,2.0,24.5,2.0,27.5,2.0,,,10,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,3.0,2.0,10,1.0,True,24.25,7.33585774754377
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4,4,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,12.0,13.0,,,,,,,,,,,,,,,,,,,,,1,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,13.0,13.0,1,0.0,True,12.0,7.33585774754377
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7,8,,7,8,8,,8,7,7,,7,7,8,,7,7,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,22.5,2.0,23.0,3.0,22.0,4.0,22.0,5.0,22.0,5.0,,,,,,,,,,,,,5,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,3.8,8.0,5,-4.2,True,22.3,7.33585774754377
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6,8,,7,6,7,,8,7,7,,9,8,9,,7,7,7,,9,9,9,,9,7,9,,8.5,7.5,9,,10,9,9.5,,9,9,9.5,,,,,,21.5,3.0,20.0,7.0,22.0,4.0,26.0,1.0,21.0,7.0,27.0,1.0,25.0,2.0,25.0,3.0,28.5,1.0,27.5,2.0,,,10,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,3.1,3.0,10,0.10000000000000009,True,24.35,7.33585774754377
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6,6.5,6,,6,6,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,18.5,8.0,17.0,9.0,,,,,,,,,,,,,,,,,,,2,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,8.5,11.0,2,-2.5,True,17.75,7.33585774754377
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6,5.5,6,,5,6,5,,7,7,6,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,17.5,11.0,16.0,10.0,20.0,8.0,18.0,9.0,,,,,,,,,,,,,,,4,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,9.5,9.0,4,0.5,True,17.875,7.33585774754377
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8,8,8.5,,8,8,8,,9,10,9,,9,8,9,,10,9,10,,8,10,8,,10,10,10,,9.5,8.5,9.5,,8,8.5,8,,10,10,10,,,,,,24.5,1.0,24.0,1.0,28.0,1.0,26.0,1.0,29.0,1.0,26.0,2.0,30.0,1.0,27.5,1.0,24.5,2.0,30.0,1.0,,,10,9.275147928994084,8.62809917355372,10.098765432098766,6.024691358024691,9.484375,13.83673469387755,8.25,2.2,4.171875,1.3888888888888886,,7.33585774754377,True,1.2,1.0,10,0.19999999999999996,True,26.95,7.33585774754377
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,8,8,8,,9,9,9,,9,9,9,,10,10,10,,10,9,10,,9,8,9,,9,9,9,,9,9,9.5,,9.5,9,9.5,,10,10,10,,9.5,10,9.5,,24.0,1.0,27.0,1.0,27.0,1.0,30.0,1.0,29.0,1.0,26.0,3.0,27.0,3.0,27.5,2.0,28.0,2.0,30.0,1.0,29.0,2.0,11,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,1.6363636363636365,2.0,11,-0.36363636363636354,True,27.681818181818183,11.77780738443763
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,6,6,6,,7,7,7,,5,6,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,18.0,7.0,21.0,5.0,16.0,10.0,,,,,,,,,,,,,,,,,3,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,7.333333333333333,12.0,3,-4.666666666666667,True,18.333333333333332,11.77780738443763
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,6,7,6,,6,5,6,,8,8,8,,8,7,7,,7,8,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.0,6.0,17.0,11.0,24.0,5.0,22.0,6.0,22.0,6.0,,,,,,,,,,,,,5,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,6.8,9.0,5,-2.2,True,20.8,11.77780738443763
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,6,5,5,,7,6,7,,7,6,7,,7,5,7,,6,7,7,,7,7,8,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,16.0,11.0,20.0,6.0,20.0,8.0,19.0,8.0,20.0,8.0,22.0,6.0,21.0,7.0,,,,,,,,,7,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,7.714285714285714,7.0,7,0.7142857142857144,True,19.714285714285715,11.77780738443763
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5,4,5,,7,6,7,,8,8,7,,9,8,8,,7,7,7,,6,6,6,,8,8,8,,9,8,9,,7.5,8,7.5,,8,8,8,,0,0,0,,14.0,12.0,20.0,6.0,23.0,6.0,25.0,4.0,21.0,7.0,18.0,7.0,24.0,6.0,26.0,3.0,23.0,5.0,24.0,4.0,,,10,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,6.0,4.0,10,2.0,True,21.8,11.77780738443763
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,8,8,7,,8,8,8,,9,9,9,,8,8,9,,9,8,9,,8,9,9,,9,9,10,,9,8,9,,9.5,9,9.5,,9.5,9,9.5,,10,10,10,,23.0,2.0,24.0,3.0,27.0,1.0,25.0,4.0,26.0,2.0,26.0,3.0,28.0,2.0,26.0,3.0,28.0,2.0,28.0,2.0,30.0,1.0,11,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,2.272727272727273,1.0,11,1.272727272727273,True,26.454545454545453,11.77780738443763
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,5,4,4,,6,5,6,,4,3,3,,4,4,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,13.0,13.0,17.0,11.0,10.0,12.0,12.0,11.0,,,,,,,,,,,,,,,4,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,11.75,10.0,4,1.75,True,13.0,11.77780738443763
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,6,6,5,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,17.0,9.0,18.0,9.0,,,,,,,,,,,,,,,,,,,2,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,9.0,13.0,2,-4.0,True,17.5,11.77780738443763
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,6,7,7,,6,7,7,,8,7,8,,8,7,7,,7,8,8,,8,7,8,,9,9,9,,8.5,8.5,8.5,,0,0,0,,0,0,0,,0,0,0,,20.0,5.0,20.0,6.0,23.0,6.0,22.0,6.0,23.0,5.0,23.0,5.0,27.0,3.0,25.5,5.0,,,,,,,8,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,5.125,6.0,8,-0.875,True,22.9375,11.77780738443763
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,7,7,7,,8,7,8,,8,8,9,,9,8,10,,9,8,9,,10,8,10,,9,8,9,,9,9,10,,8.5,9,8.5,,0,0,0,,0,0,0,,21.0,4.0,23.0,4.0,25.0,4.0,27.0,3.0,26.0,2.0,28.0,1.0,26.0,5.0,28.0,1.0,26.0,4.0,,,,,9,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,3.111111111111111,5.0,9,-1.8888888888888888,True,25.555555555555557,11.77780738443763
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,6,5,6,,5,4,5,,5,5,5,,5,5,5,,6,6,6,,7,4,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,17.0,9.0,14.0,13.0,15.0,11.0,15.0,10.0,18.0,9.0,16.0,8.0,,,,,,,,,,,6,10.828402366863905,13.159763313609469,28.305555555555557,31.818181818181817,10.666666666666666,16.6875,6.285714285714286,2.5833333333333335,4.159999999999999,4.671875,0.38888888888888884,11.77780738443763,True,10.0,8.0,6,2.0,True,15.833333333333334,11.77780738443763
